epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,633.517,0.20226,1.43216,0.97773,0.71818,0.56616,0.62097,0.61294,0.21597,0.86952,0.31598,0.00333168,0.00333168,0.00333168
2,1250.3,0.15543,0.80196,0.92215,0.55988,0.57077,0.58477,0.57467,0.15901,0.76287,0.2467,0.0063351,0.0063351,0.0063351
3,1853.67,0.16654,0.6932,0.92333,0.57899,0.71615,0.57429,0.55159,0.36558,0.99684,0.50546,0.00900851,0.00900851,0.00900851
4,2455.6,0.14846,0.64805,0.91573,0.68528,0.69232,0.6439,0.62864,0.25437,0.58257,0.35638,0.008515,0.008515,0.008515
5,3051.87,0.11923,0.57455,0.90734,0.51981,0.75908,0.64005,0.62866,0.25868,0.57827,0.34016,0.00802,0.00802,0.00802
6,3645.34,inf,0.53915,0.90054,0.67321,0.69141,0.65347,0.64907,0.19411,0.58311,0.26591,0.007525,0.007525,0.007525
7,4242.05,inf,0.51378,0.89813,0.68695,0.72155,0.69132,0.69002,0.17202,0.50236,0.2479,0.00703,0.00703,0.00703
8,4837.34,0.08167,0.49132,0.89645,0.63403,0.78121,0.69255,0.68022,0.18828,0.50272,0.28027,0.006535,0.006535,0.006535
9,5433.23,0.07393,0.46786,0.89397,0.73375,0.69999,0.68956,0.68514,0.19705,0.49569,0.27892,0.00604,0.00604,0.00604
10,6025.49,0.06823,0.45631,0.89197,0.73158,0.72185,0.69395,0.69223,0.15851,0.44921,0.22431,0.005545,0.005545,0.005545
11,6594.37,0.05394,0.40119,0.90865,0.62242,0.77388,0.70937,0.70868,0.18076,0.50284,0.25251,0.00505,0.00505,0.00505
12,7160.56,0.0429,0.37869,0.90157,0.61701,0.81383,0.70643,0.70643,0.13667,0.47634,0.18339,0.004555,0.004555,0.004555
13,7727.57,0.03588,0.3613,0.90021,0.6288,0.82298,0.71556,0.71544,0.18797,0.5119,0.25616,0.00406,0.00406,0.00406
14,8295.83,0.03125,0.34216,0.90057,0.66887,0.76554,0.72547,0.72546,0.19246,0.51296,0.2545,0.003565,0.003565,0.003565
15,8864.62,inf,0.32976,0.89929,0.63896,0.81547,0.72712,0.72712,0.18719,0.52426,0.24389,0.00307,0.00307,0.00307
16,9431.39,0.02536,0.31077,0.89753,0.65959,0.76698,0.72652,0.72612,0.17435,0.51722,0.23384,0.002575,0.002575,0.002575
17,9997.85,0.02261,0.29703,0.89849,0.66689,0.75702,0.7222,0.72203,0.16601,0.52234,0.2312,0.00208,0.00208,0.00208
18,10573.1,0.0198,0.28388,0.89724,0.65574,0.78491,0.72486,0.72475,0.17044,0.53486,0.23426,0.001585,0.001585,0.001585
19,11145,0.01689,0.26744,0.89742,0.65973,0.79969,0.72932,0.72858,0.17588,0.54382,0.24306,0.00109,0.00109,0.00109
20,11716.6,0.01487,0.25479,0.89665,0.66443,0.79518,0.73009,0.72967,0.16653,0.53915,0.22974,0.000595,0.000595,0.000595
